국가,구조활동,재난안전,자원보전,탐방시설,행정,기타,합계
미국,386,391,398,1079,240,1690,4184
캐나다,48,124,135,328,35,347,1017
뉴질랜드,71,70,82,238,41,361,863
오스트레일리아,104,61,101,138,35,377,816
케냐,70,20,212,175,29,285,791
탄자니아,16,18,126,182,19,293,654
남아프리카 공화국,41,47,137,61,5,198,489
일본,7,12,97,192,22,120,450
나미비아,1,37,90,47,4,176,355
아르헨티나,17,26,72,155,11,71,352
크로아티아,12,2,13,185,12,119,343
네팔,23,14,70,68,19,139,333
콩고 민주 공화국,51,5,81,18,19,158,332
인도,31,33,65,15,11,168,323
스위스,12,10,42,86,19,150,319
브라질,9,17,43,91,11,118,289
영국,20,56,7,30,13,134,260
스페인,11,58,17,50,8,109,253
스리랑카,5,13,58,41,49,81,247
보츠와나,5,1,74,51,0,46,177
베트남,1,1,25,37,1,39,104
이탈리아,1,3,2,5,2,59,72
중화인민공화국,3,5,22,4,1,31,66
말레이시아,7,8,15,3,0,33,66
아이슬란드,4,1,12,12,0,33,62
슬로베니아,5,0,3,25,4,25,62
터키,0,1,0,39,2,19,61
에콰도르,0,0,24,2,2,27,55
몬테네그로,3,6,4,5,2,28,48
칠레,6,6,5,3,2,26,48
슬로바키아,7,1,3,8,0,26,45
코스타리카,0,2,5,5,0,33,45
베네수엘라,3,0,1,10,3,27,44
태국,4,3,3,1,0,31,42
프랑스,0,0,1,7,1,28,37
우간다,0,0,14,4,2,12,32
과테말라,1,0,1,0,0,27,29
필리핀,4,1,3,1,0,20,29
그린란드,0,0,0,1,0,22,23
폴란드,3,0,11,3,2,2,21
에티오피아,0,2,1,2,1,12,18
스웨덴,0,0,1,0,1,12,14
노르웨이,0,0,0,4,0,9,13
오스트리아,1,0,0,5,1,6,13
독일,0,0,0,1,0,11,12
모로코,1,1,0,1,0,7,10
몽골,0,0,0,8,0,1,9
마다가스카르,0,1,0,0,0,5,6
인도네시아,0,3,0,0,0,1,4
페루,0,0,0,0,0,2,2
